2, 4, 64, 8, 0.022087322984589264
3, 4, 64, 8, 0.02209148302790709
1, 4, 64, 8, 0.022083764022681862
0, 4, 64, 8, 0.02208478399552405
1, 16, 64, 8, 0.010474335023900494
2, 16, 64, 8, 0.010484644997632131
3, 16, 64, 8, 0.010486275015864521
4, 16, 64, 8, 0.010503124998649582
5, 16, 64, 8, 0.010502994991838932
6, 16, 64, 8, 0.010522923985263333
7, 16, 64, 8, 0.010531204985454679
10, 16, 64, 8, 0.010570444021141157
11, 16, 64, 8, 0.010570384009042755
12, 16, 64, 8, 0.010593473009066656
13, 16, 64, 8, 0.010605763003695756
14, 16, 64, 8, 0.01063678300124593
15, 16, 64, 8, 0.010646912996890023
0, 16, 64, 8, 0.01047379500232637
8, 16, 64, 8, 0.010550143982982263
9, 16, 64, 8, 0.010550144012086093
1, 64, 64, 8, 0.01575136699830182
2, 64, 64, 8, 0.015744628006359562
3, 64, 64, 8, 0.015755375992739573
5, 64, 64, 8, 0.01578417600831017
6, 64, 64, 8, 0.01578935602447018
20, 64, 64, 8, 0.015940965007757768
21, 64, 64, 8, 0.01595184500911273
22, 64, 64, 8, 0.01596780397812836
23, 64, 64, 8, 0.015980702999513596
24, 64, 64, 8, 0.016003743978217244
25, 64, 64, 8, 0.01601614398532547
26, 64, 64, 8, 0.016027462988859043
27, 64, 64, 8, 0.016036003013141453
28, 64, 64, 8, 0.01604687297367491
29, 64, 64, 8, 0.016063792019849643
30, 64, 64, 8, 0.016084281989606097
31, 64, 64, 8, 0.016087963012978435
32, 64, 64, 8, 0.016115251026349142
33, 64, 64, 8, 0.016115261998493224
34, 64, 64, 8, 0.016128951974678785
35, 64, 64, 8, 0.016134760982822627
36, 64, 64, 8, 0.0161696010036394
37, 64, 64, 8, 0.016183080995688215
38, 64, 64, 8, 0.016191280010389164
39, 64, 64, 8, 0.016196941025555134
41, 64, 64, 8, 0.01624446001369506
42, 64, 64, 8, 0.016263628989690915
43, 64, 64, 8, 0.016264359990600497
44, 64, 64, 8, 0.01628186000743881
45, 64, 64, 8, 0.01630382999428548
46, 64, 64, 8, 0.016321208007866517
47, 64, 64, 8, 0.016324989002896473
48, 64, 64, 8, 0.016355767991626635
49, 64, 64, 8, 0.016368709009839222
50, 64, 64, 8, 0.016387957992265
51, 64, 64, 8, 0.016388328018365428
52, 64, 64, 8, 0.01641870799358003
53, 64, 64, 8, 0.01643817700096406
54, 64, 64, 8, 0.016450636991066858
55, 64, 64, 8, 0.01645312801701948
56, 64, 64, 8, 0.016480466001667082
57, 64, 64, 8, 0.01648974700947292
58, 64, 64, 8, 0.01650950699695386
59, 64, 64, 8, 0.016509387001860887
60, 64, 64, 8, 0.016519885015441105
61, 64, 64, 8, 0.016519516007974744
62, 64, 64, 8, 0.01651957500143908
63, 64, 64, 8, 0.016519925993634388
4, 64, 64, 8, 0.015778207016410306
7, 64, 64, 8, 0.01579926599515602
8, 64, 64, 8, 0.015812607016414404
9, 64, 64, 8, 0.015819626016309485
10, 64, 64, 8, 0.015826546004973352
11, 64, 64, 8, 0.015830337011720985
12, 64, 64, 8, 0.01585299600264989
13, 64, 64, 8, 0.01586209499510005
14, 64, 64, 8, 0.015876774996286258
15, 64, 64, 8, 0.015882954990956932
16, 64, 64, 8, 0.015906165004707873
17, 64, 64, 8, 0.015908064000541344
18, 64, 64, 8, 0.015917575015919283
19, 64, 64, 8, 0.015926734980894253
40, 64, 64, 8, 0.016227359999902546
0, 64, 64, 8, 0.015750387974549085
3, 4, 128, 8, 0.014468936016783118
1, 4, 128, 8, 0.014065272000152618
2, 4, 128, 8, 0.01419193999026902
0, 4, 128, 8, 0.014471176022198051
1, 16, 128, 8, 0.014212150010280311
2, 16, 128, 8, 0.014178860001266003
3, 16, 128, 8, 0.014482536003924906
4, 16, 128, 8, 0.01452266500564292
5, 16, 128, 8, 0.014524194994010031
